萹	bmcc
愎	bixw
诐	biyy
避	bizu
鼻	bizl
跸	bizu
办	bjld
颁	bjbr
癍	bjbw
攽	bjbw
瘢	bjby
半	bjdl
阪	bjey
搬	bjfy
拌	bjfb
扮	bjfd
扳	bjfy
钣	bjj
镚	bgjo
瓣	bjlu
板	bjmy
粄	bjmy
版	bjpy
伴	bjrb
绊	bjsb
坂	bjty
般	pjvy
舨	bjvy
班	bjww
𨭉	bjwj
斑	bjww
并	bkbk
丙	bkan
病	bkbb
邴	bkbe
冰	bkdu
摒	bkfk
抦	bkfb
疒	bkg
炳	bkhb
柄	bkmb
秉	bkpn
兵	bkqb
仌	bkrr
饼	bkuk
屏	pkuk
禀	bkwx
𰻝	blzx
边	bmzl
鳊	bmac
窆	bmbf
苄	bmcb
汴	bmdb
卞	bmdx
鞭	bmgg
扁	pmhc
煸	bmhc
蝙	bmic
贬	bmkf
匾	bmkc
辨	bmlu
辩	bmlu
辫	bmlu
褊	bmpc
釆	bmpm
便	pmrg
编	bmsc
弁	bmsc
𨚕	bmse
缏	bmsg
砭	bmuf
碥	bmuc
笾	bmvz
变	bmwy
忭	bmxb
遍	bmzc
表	bnfy
鳔	bnax
髟	bnap
瘭	bnbx
嫑	bnbn
麃	pcgh
彪	bnhp
镖	bnjx
镳	bnjh
飚	bnjh
飑	bnjs
幖	bnjx
标	bnmx
骉	bnmm
杓	ucmu
骠	pnmx
婊	bnny
膘	bnox
裱	bnpy
飙	bnqx
猋	bnqq
俵	bnry
拨	bofd
帛	bob
蕃	fjct
菠	bocy
波	body
泊	podb
渤	bodl
浡	bodz
播	boft
搏	bofc
铂	bojb
钵	bojb
钹	bojd
啵	boky
噃	bokt
卜	buld
驳	bomx
膊	booc
脖	booz
博	bouc
孛	bwuz
砵	boub
礴	bouc
勃	boul
檗	boum
鹁	boun
擘	bouu
饽	bouz
箔	bovb
舶	bovb
簸	bovy
玻	bowy
亳	bowt
跛	bozy
踣	bozk
别	bpk
瘪	bpbb
憋	bpdx
鳖	bpda
蹩	bpdr
部	bule
蔀	buce
捕	buff
钚	bujb
钸	bujj
哺	bukf
卟	bukb
瓿	bulw
晡	buof
补	bupb
埠	butu
埔	putf
埗	butp
布	buuj
步	buvp
簿	buvc
怖	buxj
醭	puyn
踄	buzp
逋	buzf
被	bwpy
背	bwlo
蓓	bwck
陂	piey
悲	bwfx
辈	bwfi
鞴	bwgy
庳	bwgu
鞁	bwgy
焙	bwhk
钡	bwjr
贝	bwkr
北	bwl
邶	bwle
杯	bwmb
棓	bwmk
貝	bwob
卑	bwp
鹎	bwpn
褙	bwpo
狈	bwqr
倍	bwrk
碑	bwuu
鐾	bwuj
碚	bwuk
备	bwwt
琲	bwwf
惫	bwwx
悖	bwxz
才	cdap
此	civb
擦	cafx
嚓	iakx
礤	caux
草	cccu
曹	ccao
漕	ccdo
操	ccfm
螬	ccio
嘈	ccko
槽	ccmo
糙	ccmz
肏	ccrr
艚	ccvo
菜	cdcm
猜	cdqo
蔡	cdcx
财	cdkc
啋	cdkm
材	cdmc
睬	cdom
采	cdpm
彩	cdpp
裁	cduy
踩	cdzm
测	cedd
厕	ceid
册	cepa
侧	cerd
策	cevn
恻	cexd
岑	cfev
涔	cfdv
参	ufsp
曾	zgbo
噌	cgko
层	cgus
蹭	cgz
藏	zhci
苍	chcv
沧	chdv
仓	chrv
伧	ifrv
舱	chvv
玱	qlwv
次	cidr
刺	ciad
慈	cibx
疵	cibb
鹚	cibn
兹	ziby
茨	cicr
茈	zicb
瓷	cidw
粢	zidm
赐	cikw
呲	zikb
糍	cimy
祠	cipk
辞	ciqu
伺	sirk
磁	ciuy
雌	civf
词	ciyk
差	idyg
残	cjdj
掺	ujfp
灿	cjhe
黪	cjhp
䅟	cjhp
喰	cjkl
餐	cjl
粲	cjlm
骖	cjmp
蚕	cjti
孱	ijuz
璨	cjwm
惨	cjxp
惭	cjxj
错	cojo
痤	cobt
嵯	coeg
搓	cofg
措	cofo
挫	coft
撮	zofy
厝	coio
锉	cojt
鹾	colg
脞	coot
矬	cout
磋	coug
蹉	cozg
窜	crbi
攒	zjfr
撺	crfi
镩	crji
爨	crph
汆	crru
篡	crvs
蹿	crz
从	csrr
匆	csbd
葱	cscx
苁	cscr
淙	csdx
潀	zsdr
聪	csex
熜	cshx
骢	csmx
枞	csmr
囱	cspw
囪	cspd
丛	csra
琮	cswx
璁	cswx
悰	csxx
粗	cumq
蔟	cucu
殂	cudq
麤	cugb
徂	cuiq
猝	cuqu
促	curr
簇	cuvu
蹙	cuwr
卒	zuwu
醋	cuyo
酢	zoyv
蹴	cuzy
催	cvr
瘁	cvb
萃	cvcu
淬	cvdu
崔	cvef
摧	cvff
焠	cvhu
啐	cvku
粹	cvm
毳	cvmm
榱	cvmy
脆	cvov
璀	cvwf
衰	ukwy
翠	cvxu
悴	cvxu
村	cymc
寸	cyad
吋	cykc
膥	cymr
皴	cysy
存	cyuz
忖	cyxc
凑	czdt
辏	czit
楱	czmt
腠	czot
的	debu
打	dafd
大	daun
达	dazd
瘩	dabk
荙	dacz
耷	dad
搭	dafk
鞑	dagz
靼	dagd
𨱏	dajk
嗒	takk
哒	dakz
妲	dand
褡	dapk
垯	datz
沓	tauo
鿎	dauz
答	davk
笪	davd
怛	daxd
跶	dazz
到	dcad
道	dczz
鱽	dcad
盗	dcdm
捣	dcfe
焘	tcfh
纛	dcfx
稻	dchj
帱	izjc
叨	tckd
梼	tcmc
岛	dcpe
祷	dcpc
氘	dcql
倒	dcrd
导	dcsc
刀	dcvp
悼	dcxu
忉	dcxd
蹈	dczj
代	ddry
歹	ddax
殆	dddk
带	ddfj
待	ddic
呆	ddkm
呔	tdkt
贷	ddrr
岱	ddre
黛	ddrh
傣	ddru
袋	ddry
怠	ddsx
绐	ddsk
埭	ddtn
戴	ddub
玳	ddwy
甙	ddyg
逮	ddzn
迨	ddzk
得	deic
底	digd
德	deix
锝	dejc
㝵	deoc
地	dity
等	dgvc
澄	igd
嶝	dgea
灯	dghd
镫	dgja
噔	dgka
瞪	dgoa
戥	dgog
磴	dgua
登	dgv
簦	dgva
凳	dgvj
邓	dgye
蹬	dgza
当	dhxe
宕	dhbu
荡	dhcp
菪	dhcu
挡	dhfe
铛	dhje
档	dhme
裆	dhpe
凼	dhuk
砀	dhup
筜	dhve
珰	dhwe
党	dhxe
谠	dhye
弟	dib
蒂	dicj
荻	dich
涤	didm
邸	dide
滴	didk
抵	difd
提	tifr
骶	digd
䗖	diij
镝	dij
嘀	dikk
啲	diku
哋	diky
棣	dimn
柢	dimd
杕	dimd
嫡	dink
娣	dinp
睇	diop
禘	dipj
敌	diqw
狄	diqh
低	dird
籴	dirm
俤	dirp
缔	disj
堤	titr
坻	ditd
氐	diud
砥	diud
觌	diue
碲	diuj
第	divp
笛	divy
帝	diwj
啇	diwk
翟	vdxf
谛	diyj
𬱖	diyr
羝	diyd
诋	diyd
递	dizp
迪	dizy
但	djrd
石	uiak
单	djbl
疸	djbd
郸	djbe
瘅	djbl
萏	djcj
淡	djdh
澹	tjdk
殚	djdl
耽	djev
聃	djer
担	djfd
掸	ujfl
弹	tjgl
丼	jkjd
啖	djkh
赕	djkh
妉	djnv
胆	djod
膻	ujod
旦	djoa
眈	djov
丹	djpa
氮	djqh
儋	djrk
箪	djvl
蛋	djvi
惮	djxl
诞	djyz
定	dkbr
丁	dkal
疔	dkbd
顶	dkdr
耵	dked
掟	dkfr
钉	dkjd
锭	dkjr
叮	dkkd
啶	dkkr
盯	dkod
腚	dkor
鼎	dkov
仃	dkrd
町	tktd
碇	dkur
玎	dkwd
订	dkyd
酊	dkyd
点	dmlh
癫	dmbr
奠	dmbd
甸	dmbt
癜	dmby
滇	dmdb
淀	dmdr
巅	dme
阽	dmek
垫	dmft
掂	dmfk
靛	dmfr
店	dmgk
钿	dmjt
电	dml
典	dmlb
佃	tmrt
坫	dmtk
颠	dmur
碘	dmub
殿	dmuy
簟	dmvu
玷	dmwk
惦	dmxk
踮	dmzk
调	tnyk
鲷	dnak
凋	dndk
汈	dndd
掉	dnf
钓	dnj
铫	ycjd
铞	dnjj
吊	dnkj
叼	dnkd
雕	dnpf
屌	dnu
碉	dnuk
刁	dnva
貂	dnvk
多	doxx
夺	dodc
沲	tody
堕	hvet
掇	dofy
度	dugy
朵	dojm
剁	dojd
铎	dojl
咄	doki
哚	dokm
哆	dokx
喥	doky
驮	tomd
柁	tomb
裰	dopy
缍	dos
垛	dotm
躲	doum
饳	doui
舵	dovb
惰	doxo
跺	dozm
踱	dozy
跌	dpzu
鲽	dpam
爹	dpbx
揲	dpfm
瓞	dpgu
蝶	dpim
喋	vakm
耋	dplt
牒	dppm
垤	dptt
堞	dptm
碟	dpum
谍	dpym
叠	dpyq
迭	dpzu
蹀	dpzm
丢	dqps
铥	dqjs
段	drpy
煅	drhy
锻	drjy
端	drle
断	drmj
椴	drmy
缎	drsy
短	drua
簖	drvj
动	dsel
东	dsad
董	dscv
苳	dscd
洞	dsdk
冻	dsdd
鸫	dsdn
峒	tsek
岽	dsed
咚	dskd
栋	dsmd
胴	dsok
胨	dsod
夂	dspn
氡	dsqd
侗	tsrk
垌	tstk
硐	dsuk
冬	dsw
懂	dsxv
恫	dsxk
读	duyd
蠹	duui
芏	duct
渡	dudy
渎	dudd
毒	dufm
髑	dugi
黩	duhd
镀	duj
𬭊	dujt
赌	duko
嘟	duke
都	dzle
杜	dumt
椟	dumd
阇	dumo
妒	dunh
犊	dund
肚	duot
睹	duoo
牍	dupd
独	duqi
堵	duto
督	duuo
笃	duvm
对	dvyc
兑	dvbe
队	dve
㨃	dvfz
镦	dvjw
𠂤	dvpk
堆	dvt
碓	dvuf
憝	dvwx
怼	dvyx
嗲	dxkx
顿	dytr
沌	dydt
炖	dyht
钝	dyjt
吨	dykt
囤	tykt
盹	dyot
盾	dypo
墩	dytw
礅	dyuw
砘	dyut
敦	dyww
趸	dywr
惇	dyxz
蹲	dyzc
遁	dyzo
蹾	dyzw
逗	dzza
豆	dzaa
窦	dzbd
痘	dzba
兜	dzpe
蔸	dzce
斗	dzdu
陡	dze
抖	dzfu
蚪	dzi
钭	dzju
唞	dzku
篼	dzv
二	eraa
嗯	og
额	eebr
鳄	eeak
萼	eeck
苊	eecv
莪	eecw
峨	eeew
扼	eefv
厄	eeiv
轭	eeiv
蛾	eeiw
锷	eej
锇	eejw
呃	eekv
鄂	eeke
鹗	eekn
颚	eekr
哦	ookw
哑	yaky
阏	yjmd
娥	eenw
婀	eenk
姶	eenk
腭	eeok
俄	eerw
饿	eeuw
屙	eeuk
𥔲	eeuk
噩	eewk
鹅	eewn
愕	eexk
恶	wuyx
讹	eeyb
谔	eeyk
垩	eeyt
遏	eezv
复	fupw
管	grvk
鹤	hedn
诶	eiyu
极	jimj
计	jiyu
块	kktn
立	liwa
美	mwyd
恩	enkx
奀	enbd
蒽	encx
摁	enfx
片	pmpv
而	eral
耳	eraa
鲕	erae
尔	erdx
洱	erde
鸸	eren
铒	erje
兒	erje
咡	erke
儿	erpv
佴	ndre
饵	eru
珥	erwe
贰	eryr
弍	erye
迩	erzx
帖	tpjk
十	uial
之	vidn
位	wwrl
非	fwla
法	fads
阀	famg
乏	fapv
伐	farg
垡	fart
罚	fasd
砝	faus
发	favd
筏	favg
珐	faws
分	ffbd
份	ffrd
鲼	ffar
忿	ffbx
芬	ffcd
奋	ffdt
汾	ffdd
瀵	ffdb
𣸣	ffdr
鼢	ffjd
吩	ffkd
粉	ffmd
粪	ffmb
棼	ffmd
焚	ffmh
瞓	ffoi
氛	ffqd
偾	ffrr
纷	ffsd
坟	fftw
玢	ffwd
愤	ffx
酚	ffyd
风	fgjx
疯	fgb
丰	fgal
葑	fgc
冯	pkdm
沣	fgdf
浲	fgdf
峰	fgef
酆	fgfe
奉	fgfl
烽	fghf
蜂	fgif
锋	fgjf
風	fgji
凬	fgjo
凨	fgjs
凤	fgjy
唪	fgkl
枫	fgmx
俸	fgrl
缝	fgsz
封	fgt
砜	fgux
讽	fgyx
逢	fgzf
放	fhfw
鲂	fhaf
芳	fhcf
方	fhdw
防	fhef
邡	fhfe
房	fhhf
彷	phif
蚄	fhif
钫	fhjf
枋	fhmf
妨	fhnf
肪	fhof
仿	fhrf
纺	fhsf
坊	fhtf
舫	fhvf
访	fhyf
反	fjpy
范	fjcv
藩	fjct
蘩	fjcx
泛	fjdf
氾	fjdv
烦	fjhr
燔	fjht
凡	fjjd
钒	fjjf
帆	fjjf
幡	fjjt
𫔍	fjjt
贩	fjky
梵	fjmf
樊	fjmd
翻	fjpx
𬸪	fjpn
番	fjpt
繁	popx
犯	fjqv
畈	fjty
矾	fjuf
饭	fjuy
璠	fjwt
返	fjzy
蹯	fjzt
佛	furf
副	fuad
夫	fuan
鲋	fuac
甫	fuad
巿	fual
畐	fuat
鳆	fuaw
富	fubt
釜	fuba
斧	fubj
匐	fubt
父	fubx
芙	fucf
苻	fucc
芾	fwcl
茯	fucq
菔	fucy
莩	fucz
负	fudr
滏	fuda
涪	fudk
浮	fudz
附	fuec
扶	fuff
敷	fufw
艴	fufb
拊	fufc
拂	fuff
麸	fuff
抚	fufw
府	fugc
腐	fugr
馥	fuhw
稃	fuhz
蜉	fuiz
辅	fuif
蚨	fuif
蝠	fuit
辐	fuit
蝮	fuiw
幅	fuj
幞	fujn
赋	fukv
咐	fukc
赙	fukc
呋	fukf
呒	omkw
㕮	fukx
孵	fulz
驸	fumc
桴	fumz
妇	fune
服	fuoy
脯	puof
腑	fuoc
肤	fuof
腹	fuow
凫	fupj
福	fupt
祓	fupy
郛	fupe
袱	fupq
阜	fupu
孚	fupz
氟	fuqf
付	furc
俯	furc
傅	furc
伏	furq
俘	furz
缚	fusc
罘	fusb
绂	fusd
绋	fusf
赴	futb
垺	futz
砩	fuuf
砆	fuuf
弗	fuvl
符	fuvc
覆	fuxw
怫	fuxf
讣	fuyb
黻	fuyd
黼	fuyf
跗	fuzc
趺	fuzf
费	fwfr
鲱	fwaf
痱	fwbf
菲	fwcf
沸	fwdf
淝	fwdb
蜚	fwfi
斐	fwfw
翡	fwfx
废	fwgd
扉	fwhf
镄	fwjr
匪	fwkf
啡	fwkf
吠	fwkq
榧	fwmf
妃	fwnj
肥	fwob
腓	fwof
蜰	fwoi
肺	fwol
狒	fwqf
绯	fwsf
飞	fwvd
篚	fwvf
悱	fwxf
诽	fwyf
霏	fwyf
否	pibk
缶	fzwk
个	gerl
嘎	gakg
夹	jxa
轧	yaiv
旮	gajo
钆	gajv
咖	kakk
㗎	gakm
噶	gakv
尕	ganx
胳	geok
朒	gaor
伽	qprk
尬	gaul
尜	gaxx
高	gcwk
搞	gcfk
皋	gcbu
藁	gccm
夰	gcdl
稿	gchk
镐	hcjk
锆	gcjk
槁	gcmk
糕	gcmh
槔	gcmu
告	gcnk
郜	gcne
杲	gcom
睾	gcpu
缟	gcsk
篙	gcvk
膏	gcwo
羔	gcyh
诰	gcyk
该	gdyr
钙	gdjg
丐	gdav
芥	jpcl
溉	gdd
陔	gder
改	gdjw
赅	gdk
概	gdmv
戤	gdng
胲	hdor
垓	gdtr
盖	gdym
各	gewk
哥	gedk
戈	gead
鬲	lial
歌	gedr
割	gebd
疙	gebq
葛	gecv
隔	geel
搁	gefk
骼	gegk
蛤	haik
虼	geiq
铬	lojk
鿔	gejk
镉	gejl
嗝	gekl
咯	lokk
嘅	gekv
哿	gel
格	gemk
阁	gemk
槅	geml
革	genl
膈	geol
袼	gepk
鸽	gern
合	herk
仡	gerq
颌	herr
纥	hesq
圪	getq
塥	getl
搿	geu
硌	louk
舸	gevk
跟	gfzg
亘	gfad
茛	gfcg
艮	gfvn
哏	gfkg
根	gfmg
更	ggan
鲠	ggag
耿	ggeh
庚	gggn
赓	gggr
哽	ggkg
耕	gglj
梗	ggmg
绠	ggsg
埂	ggtg
畊	ggtj
颈	jkvr
羹	ggyd
刚	ghkd
港	ghds
岗	ghex
缸	ghfg
扛	khfg
钢	ghjx
冈	ghkx
戆	vllx
杠	ghmg
肛	ghog
纲	ghsx
罡	ghsv
筻	ghvg
干	gjau
甘	gjna
疳	gjbg
苷	gjcg
淦	gjdj
泔	gjdg
㽏	gjdg
澉	gjdw
擀	gjfg
骭	gjgg
秆	gjhg
咁	gjkg
赣	gjlr
杆	gjmg
柑	gjmg
橄	gjmw
肝	gjog
旰	gjog
绀	gjsg
赶	gjtg
坩	gjtg
尴	gjum
矸	gjug
乾	qmuq
敢	gjvw
竿	gjvg
感	gjxx
玕	gjwg
酐	gjy
怪	gkxt
拐	gkfl
掴	gofy
乖	gkqb
光	glxw
广	glwp
洸	gldw
広	glgs
咣	glkw
桄	glmw
胱	glow
犷	glqg
珖	glww
逛	glzw
过	gozc
馘	goba
菓	gocg
涡	wodn
聒	goek
崞	goez
蜾	goig
蝈	goiy
锅	gojn
帼	gojy
国	gok
嗰	gokk
呙	wokn
啯	goky
果	goln
咼	golk
椁	gomz
粿	gomg
虢	gopj
猓	goqg
埚	gotn
馃	goug
郭	gowe
裹	gowy
关	grbt
官	grbk
鳏	grad
冠	grbc
莞	wjce
鹳	grcn
灌	grdf
涫	grdk
罐	grff
掼	grfr
贯	grvr
爟	grhf
棺	grmk
盥	grp
倌	grrk
纶	lysb
馆	gruk
筦	grve
琯	grw
惯	grxr
观	grye
共	gscb
工	gsel
廾	gsal
公	gsbs
宫	gsbk
恭	gscx
䢼	gsce
觥	gsdw
拱	gsfb
汞	gsgu
贡	gsgr
巩	gsgf
功	gsgl
攻	gsgw
蚣	gsis
唝	gskr
龚	gslb
肱	gsos
供	gsrb
躬	gsug
厷	gsus
弓	gsvv
珙	gswb
古	guuk
故	guuw
鲴	guak
谷	gubk
痼	gubk
菇	guck
菰	gucg
蓇	gucg
沽	gudk
觚	gudg
汩	yudo
崮	guek
鹘	hugn
巭	gugf
雇	guhf
顾	guir
蛄	guik
轱	guik
蛊	guim
锢	guj
钴	gujk
固	gukk
呱	gxkg
咕	gukk
骨	gulo
梏	gum
姑	gunk
牯	gunk
牿	gunk
股	guoy
臌	guoy
估	gurk
罟	gusk
鼓	guuy
馉	guug
鸪	guun
瞽	guuo
辜	guuu
嘏	guuy
毂	guuy
榖	guuy
箍	guvj
贾	jxxr
诂	guyk
酤	guyk
孤	guz
贵	gvvr
鲑	gvat
鳜	gvar
皈	gvby
宄	gvbj
龟	qqdv
刿	gved
规	gvfe
庋	gvgy
廆	gvgg
轨	gvi
匦	gvkj
归	gvle
桂	gvmt
柜	jumj
桧	hvms
闺	gvmt
妫	gvn
姽	gvnv
晷	gvok
炅	jsoh
鬼	gvps
刽	gvrd
傀	kvrg
圭	gvtt
硅	gvut
攰	gvul
癸	gvvt
簋	gvvm
瑰	gvwg
诡	gvyv
跪	gvzv
给	jisk
挂	gxft
寡	gxbd
括	kofk
剐	gxkd
啩	gxkb
栝	gxmk
胍	gxog
瓜	gxpn
褂	gxpb
刮	gxqd
鸹	gxqn
卦	gxtb
颪	gxxi
诖	gxyt
滚	gydy
鲧	gyax
辊	gyib
棍	gymb
绲	gysb
磙	gyuy
衮	gywy
够	gzbx
觏	gzae
冓	gzar
勾	gzbs
雊	gzbf
句	jubk
鸲	qubn
苟	gzck
芶	gzcs
沟	gzds
岣	gzek
拘	jufk
鞲	gzgr
钩	gzjs
购	gzks
构	gzms
枸	jumk
媾	gznr
狗	gzqk
佝	gzrk
缑	gzsu
垢	gztk
彀	gzuy
篝	gzvr
笱	gzvk
玽	gzwk
诟	gzyk
遘	gzzr
和	hehk
化	hxrb
哈	hakk
铪	kejk
好	hcnz
皓	hcbk
皞	hcbu
蒿	hcck
薅	hccc
浩	hcdk
濠	hcdu
灏	hcdr
蚝	hcim
号	hckv
嚆	hckk
嗥	hcku
嚎	hcku
耗	hclm
恏	hcnx
昊	hcot
颢	hcor
郝	hcte
壕	hctu
貉	movk
豪	hcwu
毫	hcwm
还	hrzb
害	hdbk
海	hdd
骸	hdgr
嗨	hdkm
嗐	hdkk
咍	hdkk
咳	kekr
嚡	hdkt
骇	hdmr
閪	hdmx
氦	hdqr
亥	hdwr
醢	hdym
孩	hdzr
何	herk
翮	heax
荷	heck
菏	heck
河	hedk
涸	hedk
鞨	hegv
熇	hehk
盉	hehm
蚵	keik
喝	hekv
嗬	hekk
吓	xxkx
贺	helr
壑	helt
核	humr
阖	hemm
籺	hemq
阂	hemr
姀	henh
曷	heov
禾	hepm
褐	hepv
盒	herm
赫	hetd
盍	hetm
龁	hevq
劾	hewl
翯	hexk
诃	heyk
𬌗	heyk
很	hfig
痕	hfbg
狠	hfqg
恨	hfxg
横	hgmb
蘅	hgci
衡	hgii
哼	hgkl
桁	hgmi
姮	hgng
亨	hgwl
珩	hgwi
恒	hgxg
行	xkii
巷	xlcs
沆	hhdj
吭	kgkj
杭	hhmj
绗	hhsi
航	hhvj
颃	hhwr
含	hjrk
寒	hjbd
罕	hjbg
菡	hjck
汉	hjdy
汗	hjdg
涵	hjdk
浛	hjdk
瀚	hjdx
崡	hjek
捍	hjfg
扞	hjfg
撖	hjfw
撼	hjfx
邯	hjge
邗	hjge
顸	hjgr
焊	hjhg
焓	hjhk
蚶	hjig
喊	hjkk
函	hjlk
阚	kjmw
旱	hjog
晗	hjok
颔	hjrr
韩	hjuw
翰	hjux
憨	hjvx
憾	hjxx
悍	hjxg
酣	hjyg
鼾	hjzg
坏	hktb
淮	hkdf
徊	hkik
槐	hkmg
怀	hkxb
踝	hkzg
黄	hlcb
鳇	hlaw
皇	hlbw
癀	hlbb
㿠	hlbw
荒	hlcv
湟	hldw
潢	hldb
隍	hlew
煌	hlhw
蝗	hliw
蟥	hlib
徨	hliw
凰	hljw
𨱑	hljb
幌	hljw
锽	hljw
晃	hlow
磺	hlub
簧	hlvb
篁	hlvw
艎	hlvw
璜	hlwb
肓	hlwo
瑝	hlww
恍	hlxw
慌	hlxv
惶	hlxw
谎	hlyv
遑	hlzw
噷	hmkr
或	hoga
豁	hobk
获	hocq
劐	hocd
藿	hocf
蒦	hocy
活	hodk
漷	hode
火	hodr
攉	hof
惑	hogx
夥	hogx
蠖	hoiy
镬	hojy
钬	hojh
锪	hojx
嚯	hokf
耠	holk
祸	hop
货	horr
伙	horh
霍	hoyf
换	hrfd
鲩	hrae
鬟	hray
痪	hrbd
郇	xybe
宦	hrbi
寰	hrby
萑	hrcf
奂	hrdd
涣	hrdd
浣	hrde
洹	hrdg
豢	hrju
漶	hrdx
擐	hrf
焕	hrhd
患	hrix
锾	hrjy
镮	hrjy
唤	hrkd
圜	yrky
桓	hrmg
嬛	hrny
獾	hrqf
缓	hrsy
缳	hrsy
环	hrwb
欢	hryr
幻	hryv
逭	hrzk
红	hssg
宏	hsbs
訇	hsbk
蕻	hscb
薨	hscb
荭	hscg
泓	hsds
洪	hsdb
鸿	hsdn
弘	hsg
烘	hshb
虹	hsig
轰	hsiy
哄	hskb
吽	hskn
竑	hsls
闳	hsms
纮	hsss
翃	hsux
黉	hsxb
讧	hsyg
户	hudu
壶	huuy
互	huaa
葫	huco
斛	hudu
沪	hudh
瓠	hudg
冱	hudh
滹	hudh
湖	hudo
浒	xudw
岵	huek
护	hufh
㧾	hufx
弧	hug
烀	huhh
虎	huhj
扈	huhb
煳	huho
戽	huhu
蝴	huio
轷	huih
呼	hukh
唬	hukj
囫	hukw
唿	hukx
虍	hulq
糊	humo
槲	humu
鹄	hunn
嫮	hunk
鹱	huny
乎	hupl
祜	hupk
狐	huqg
猢	huqo
胡	huuo
鹕	huun
觳	huuy
縠	huuy
笏	huvw
忽	huwx
琥	huwj
瑚	huwo
怙	huxk
惚	huxx
醐	huyo
会	hvrs
惠	hvax
荟	hvcs
茴	hvck
蕙	hvcx
汇	hvdk
洄	hvdk
浍	kkds
